"Year","RP1"
642,-0.436026987887227
643,-0.452153165674164
644,-0.390047317496525
645,-0.427998751341357
646,-0.382368173334762
647,-0.388725568281851
648,-0.419374508049918
649,-0.349578350936138
650,-0.348374888090028
651,-0.421325153991459
652,-0.320999025542154
653,-0.389913018257241
654,-0.331281340807659
655,-0.278520463878751
656,-0.280398896902408
657,-0.298240521164035
658,-0.371903209102136
659,-0.373150651025328
660,-0.411942267458236
661,-0.423597696157814
662,-0.438376475908061
663,-0.464793480306811
664,-0.557327438786881
665,-0.478177741046609
666,-0.448669498182894
667,-0.363027604466611
668,-0.44263651150285
669,-0.404503855246419
670,-0.313043201140755
671,-0.270430577778112
672,-0.314915474378637
673,-0.30822931291235
674,-0.179682152477465
675,-0.250571585035497
676,-0.332519563266496
677,-0.288724042468846
678,-0.200782208620692
679,-0.104772841022584
680,-0.11875153565765
681,-0.310549218152722
682,-0.217759006989526
683,-0.227935044564456
684,-0.40212558416394
685,-0.37444665824477
686,-0.449705428813325
687,-0.558782831172491
688,-0.473585070460137
689,-0.531460376886846
690,-0.59440448087776
691,-0.589457722968534
692,-0.611151997876675
693,-0.57616277029978
694,-0.576448583252644
695,-0.549568880889534
696,-0.515079674067148
697,-0.5842418340807
698,-0.508741557261736
699,-0.464662233725308
700,-0.48876449681907
701,-0.399995457856983
702,-0.396152151727638
703,-0.377430632573538
704,-0.417592503805371
705,-0.362471952792181
706,-0.346419258655838
707,-0.378670634992755
708,-0.239443589133911
709,-0.3606736478158
710,-0.339603824542003
711,-0.339315205020858
712,-0.364662515996739
713,-0.3417821971647
714,-0.342157550511358
715,-0.44855091283398
716,-0.370456557090619
717,-0.31451884347879
718,-0.25752447988202
719,-0.322288605134099
720,-0.384137026918009
721,-0.332126336197629
722,-0.372682592090497
723,-0.34481230725243
724,-0.312865548867044
725,-0.251835055774899
726,-0.323628318232769
727,-0.343663651411448
728,-0.306995627504927
729,-0.364431468233696
730,-0.357587665050995
731,-0.374657806801141
732,-0.272223468263911
733,-0.315555386439684
734,-0.258005791066237
735,-0.272773479922256
736,-0.313389191242363
737,-0.283594892275216
738,-0.24466974753552
739,-0.281326262958083
740,-0.323416448418026
741,-0.274049737470424
742,-0.210312060278068
743,-0.272185646351282
744,-0.286501926511488
745,-0.269458525356372
746,-0.161498002835224
747,-0.193263796447595
748,-0.277636176980679
749,-0.293309151675686
750,-0.317746229848593
751,-0.293526892533489
752,-0.267500927294427
753,-0.276789322150373
754,-0.29916091309462
755,-0.28409649410758
756,-0.327883307809868
757,-0.27172865790887
758,-0.281119845714501
759,-0.272185281163832
760,-0.336742830760812
761,-0.325280880541831
762,-0.290205610911281
763,-0.171449769512147
764,-0.125248738195338
765,-0.208566226960143
766,-0.324798870770841
767,-0.290816562269592
768,-0.267124567401356
769,-0.266406126715544
770,-0.312131017591477
771,-0.23324284877772
772,-0.364599575264856
773,-0.379770240631734
774,-0.27727809801965
775,-0.221426371339052
776,-0.20214909406185
777,-0.263673115937131
778,-0.23441945871808
779,-0.293529310657183
780,-0.312636327391449
781,-0.31110633508674
782,-0.304335706282011
783,-0.325309121727357
784,-0.38524485072256
785,-0.343212666470889
786,-0.243218574950114
787,-0.20167432769531
788,-0.388561096478614
789,-0.369097705853608
790,-0.341085709750375
791,-0.396542347961506
792,-0.313512891587437
793,-0.321008405291839
794,-0.282647314046836
795,-0.317940422309007
796,-0.352928658194191
797,-0.298870298812246
798,-0.225263722792677
799,-0.26051042104521
800,-0.391793958190268
801,-0.383347297808428
802,-0.379220152437988
803,-0.418586730163941
804,-0.444546513171129
805,-0.509940071803358
806,-0.51419820220134
807,-0.531847537649899
808,-0.486490441957149
809,-0.461361719865363
810,-0.419713001771247
811,-0.295718231614627
812,-0.290639787262352
813,-0.29791649002268
814,-0.326646427280647
815,-0.326598286688424
816,-0.313180813739406
817,-0.370669417152742
818,-0.308416165970319
819,-0.310496969814664
820,-0.259384688654288
821,-0.368112624087879
822,-0.38174970473429
823,-0.284160935079162
824,-0.328801304358371
825,-0.29197222116206
826,-0.288157582491297
827,-0.27810581224952
828,-0.238461345183058
829,-0.224427743950213
830,-0.205187099175904
831,-0.242661036176468
832,-0.1909447172279
833,-0.143884506109821
834,-0.254399347870051
835,-0.244152129904774
836,-0.260261925418759
837,-0.271929766176625
838,-0.296462758154495
839,-0.243985955933443
840,-0.240449049658674
841,-0.236023413369329
842,-0.174389627156603
843,-0.190468472165565
844,-0.244684922518873
845,-0.193791858339537
846,-0.274979325494356
847,-0.306618249043278
848,-0.301109630571553
849,-0.331297366197821
850,-0.286308262879476
851,-0.36343079987489
852,-0.359567631555461
853,-0.315719406367785
854,-0.362544720052726
855,-0.452016051479839
856,-0.487111434793452
857,-0.480567919821493
858,-0.459248151033005
859,-0.455920202352628
860,-0.463476098431937
861,-0.4046107844225
862,-0.347838890523503
863,-0.381982821524524
864,-0.394184474105887
865,-0.478462038275211
866,-0.430808747407404
867,-0.323687855225084
868,-0.264344022014441
869,-0.294145106467575
870,-0.307522046691294
871,-0.294024732540419
872,-0.28089974118944
873,-0.304775406871153
874,-0.354826032532186
875,-0.264453367498693
876,-0.284999402524879
877,-0.289546931002662
878,-0.199489919408374
879,-0.182042174119757
880,-0.0884564444619771
881,-0.196099911673569
882,-0.143413167351018
883,-0.20119724759271
884,-0.335203933145762
885,-0.181687387771723
886,-0.252398490615449
887,-0.155240586986587
888,-0.205287792384506
889,-0.238422710503592
890,-0.319541982991432
891,-0.233241745287885
892,-0.270996452904793
893,-0.308947765679348
894,-0.242321665022935
895,-0.272457010767491
896,-0.294880407743794
897,-0.237410747228816
898,-0.314990587660922
899,-0.343107484458614
900,-0.399225080236637
901,-0.367473048532142
902,-0.4066960321671
903,-0.427604636589667
904,-0.351794752105824
905,-0.351495495654653
906,-0.366486840611392
907,-0.407568335943005
908,-0.344280298087844
909,-0.346271736831085
910,-0.38114390746578
911,-0.336156597035963
912,-0.271436220012553
913,-0.476029740814953
914,-0.426219742632938
915,-0.319873216547251
916,-0.292892827792518
917,-0.29794907344196
918,-0.41827038784006
919,-0.306724403943943
920,-0.357729841589959
921,-0.3370821355181
922,-0.326725982436925
923,-0.275232589679915
924,-0.253454516311284
925,-0.270290708426865
926,-0.223242592546951
927,-0.23183731714303
928,-0.262972247175567
929,-0.192760895423084
930,-0.240548442383392
931,-0.262514111835503
932,-0.256413404052251
933,-0.23492294789521
934,-0.167975655483958
935,-0.264082846229177
936,-0.146620697779989
937,-0.212580201678808
938,-0.220467074050995
939,-0.29403139426845
940,-0.346009749131789
941,-0.27828692627542
942,-0.341708490452079
943,-0.301923163345719
944,-0.305071097497398
945,-0.271949434798864
946,-0.247123538761275
947,-0.255164294033847
948,-0.247418872820337
949,-0.227048716678078
950,-0.24712482236485
951,-0.219495804954052
952,-0.301794113776256
953,-0.264356664586156
954,-0.277391081488301
955,-0.260158483563734
956,-0.212147806168915
957,-0.228794230598611
958,-0.278807381452231
959,-0.264748327763813
960,-0.261678148105572
961,-0.352455499806854
962,-0.262945799733097
963,-0.211912709969999
964,-0.211452642045217
965,-0.219231193444767
966,-0.161038687537763
967,-0.297577102466682
968,-0.257453872270059
969,-0.21450751647551
970,-0.204661769610606
971,-0.186921001341416
972,-0.153526631273862
973,-0.252140816151133
974,-0.260981737557876
975,-0.22880633085851
976,-0.300857457879798
977,-0.27614298584109
978,-0.24732692655354
979,-0.274543741077477
980,-0.278143754656958
981,-0.257053915810688
982,-0.152115062866148
983,-0.149414538324331
984,-0.114167239324236
985,-0.183209973670071
986,-0.215298123591069
987,-0.307427587423077
988,-0.357698814158625
989,-0.347356019901834
990,-0.327384094674395
991,-0.296693252566512
992,-0.252848341178562
993,-0.164183179401956
994,-0.210947327019632
995,-0.215299575743542
996,-0.224648977266171
997,-0.215792495434043
998,-0.297324061821668
999,-0.29926326526474
1000,-0.270524504946867
1001,-0.268382343240772
1002,-0.22798395509905
1003,-0.271060908846205
1004,-0.318060998491756
1005,-0.312290152687291
1006,-0.257157726986028
1007,-0.263061470885663
1008,-0.244538862239986
1009,-0.309876993676193
1010,-0.202939288293354
1011,-0.17487921292736
1012,-0.168943463232755
1013,-0.18847657849186
1014,-0.220548713903893
1015,-0.284458359165665
1016,-0.353987534557891
1017,-0.261636591233742
1018,-0.285062370505919
1019,-0.278832672610584
1020,-0.291202205754682
1021,-0.317940020938787
1022,-0.31528066489055
1023,-0.232441298897296
1024,-0.226780351825757
1025,-0.229104708653283
1026,-0.238663408561215
1027,-0.25557274683074
1028,-0.16452811996652
1029,-0.237999714686462
1030,-0.31299827923585
1031,-0.278855610096358
1032,-0.307065584943767
1033,-0.271533627793533
1034,-0.213587577841325
1035,-0.333225099994687
1036,-0.239234931061309
1037,-0.167232178418474
1038,-0.25208340245629
1039,-0.201532057843459
1040,-0.121461853525763
1041,-0.247464139510888
1042,-0.269362672824699
1043,-0.337419467628474
1044,-0.255965394523434
1045,-0.235937904836987
1046,-0.238622458072361
1047,-0.205497320248245
1048,-0.170279253942205
1049,-0.20037422737754
1050,-0.129084371415204
1051,-0.0957570829552813
1052,-0.127106667907534
